iter	Passed	Remaining
492	3786	3894
493	3796	3889
494	3805	3882
495	3814	3875
496	3823	3869
497	3832	3863
498	3840	3856
499	3849	3849
500	3858	3842
501	3865	3835
502	3874	3828
503	3881	3819
504	3888	3811
505	3896	3803
506	3904	3796
507	3911	3788
508	3918	3780
509	3926	3772
510	3933	3764
511	3940	3755
512	3947	3747
513	3955	3739
514	3962	3731
515	3970	3724
516	3978	3716
517	3986	3709
518	3993	3701
519	4001	3693
520	4008	3685
521	4015	3677
522	4023	3669
523	4030	3661
524	4037	3653
525	4045	3645
526	4052	3637
527	4060	3630
528	4068	3622
529	4075	3614
530	4082	3606
531	4090	3598
532	4097	3590
533	4105	3582
534	4113	3574
535	4120	3566
536	4128	3559
537	4138	3553
538	4146	3546
539	4155	3539
540	4164	3533
541	4173	3526
542	4181	3519
543	4190	3512
544	4199	3506
545	4208	3499
546	4216	3491
547	4224	3484
548	4233	3477
549	4241	3470
550	4250	3463
551	4258	3455
552	4265	3447
553	4272	3439
554	4279	3431
555	4287	3423
556	4294	3415
557	4301	3407
558	4308	3399
559	4315	3390
560	4323	3382
561	4329	3374
562	4337	3366
563	4345	3359
564	4352	3351
565	4360	3343
566	4367	3335
567	4374	3326
568	4380	3318
569	4388	3310
570	4395	3302
571	4403	3294
572	4409	3286
573	4416	3278
574	4423	3269
575	4430	3261
576	4438	3253
577	4445	3245
578	4452	3237
579	4459	3229
580	4465	3220
581	4473	3213
582	4481	3205
583	4489	3198
584	4496	3189
585	4504	3182
586	4511	3174
587	4518	3166
588	4525	3158
589	4533	3150
590	4540	3142
591	4548	3134
592	4554	3126
593	4562	3118
594	4569	3110
595	4576	3102
596	4583	3094
597	4591	3086
598	4599	3078
599	4606	3070
600	4613	3062
601	4620	3055
602	4628	3047
603	4635	3039
604	4642	3031
605	4650	3023
606	4657	3015
607	4664	3007
608	4671	2999
609	4678	2991
610	4686	2983
611	4694	2975
612	4702	2968
613	4709	2960
614	4716	2952
615	4724	2945
616	4732	2937
617	4739	2929
618	4746	2921
619	4753	2913
620	4761	2906
621	4768	2898
622	4776	2890
623	4783	2882
624	4790	2874
625	4797	2866
626	4804	2858
627	4812	2850
628	4819	2842
629	4826	2834
630	4834	2827
631	4841	2819
632	4848	2811
633	4855	2803
634	4862	2795
635	4870	2787
636	4877	2779
637	4884	2771
638	4891	2763
639	4898	2755
640	4905	2747
641	4913	2739
642	4920	2731
643	4927	2724
644	4934	2716
645	4942	2708
646	4949	2700
647	4957	2692
648	4964	2685
649	4971	2677
650	4978	2668
651	4985	2661
652	4992	2653
653	5000	2645
654	5007	2637
655	5014	2629
656	5022	2622
657	5030	2614
658	5036	2606
659	5043	2598
660	5050	2590
661	5057	2582
662	5065	2574
663	5071	2566
664	5079	2558
665	5085	2550
666	5092	2542
667	5099	2534
668	5106	2526
669	5114	2518
670	5121	2511
671	5128	2503
672	5135	2495
673	5143	2487
674	5150	2479
675	5159	2472
676	5166	2465
677	5174	2457
678	5181	2449
679	5187	2441
680	5194	2433
681	5201	2425
682	5208	2417
683	5216	2409
684	5222	2401
685	5229	2393
686	5236	2385
687	5244	2378
688	5251	2370
689	5258	2362
690	5265	2354
691	5272	2346
692	5280	2339
693	5287	2331
694	5294	2323
695	5302	2316
696	5309	2308
697	5317	2300
698	5324	2292
699	5331	2284
700	5338	2276
701	5345	2269
702	5352	2261
703	5360	2253
704	5367	2246
705	5374	2238
706	5381	2230
707	5389	2222
708	5396	2214
709	5403	2207
710	5410	2199
711	5418	2191
712	5425	2183
713	5432	2176
714	5439	2168
715	5446	2160
716	5453	2152
717	5460	2144
718	5468	2137
719	5476	2129
720	5483	2122
721	5490	2114
722	5498	2106
723	5506	2099
724	5512	2091
725	5520	2083
726	5528	2075
727	5535	2068
728	5542	2060
729	5549	2052
730	5556	2044
731	5564	2037
732	5571	2029
733	5578	2021
734	5585	2013
735	5593	2006
736	5600	1998
737	5608	1990
738	5615	1983
739	5622	1975
740	5629	1967
741	5637	1960
742	5644	1952
743	5651	1944
744	5658	1936
745	5665	1929
746	5672	1921
747	5680	1913
748	5687	1906
749	5694	1898
750	5702	1890
751	5709	1882
752	5716	1875
753	5723	1867
754	5730	1859
755	5737	1851
756	5745	1844
757	5752	1836
758	5758	1828
759	5766	1820
760	5773	1813
761	5780	1805
762	5787	1797
763	5794	1789
764	5801	1782
765	5807	1774
766	5814	1766
767	5821	1758
768	5828	1750
769	5835	1743
770	5843	1735
771	5849	1727
772	5857	1720
773	5863	1712
774	5870	1704
775	5878	1696
776	5884	1688
777	5891	1681
778	5898	1673
779	5905	1665
780	5912	1658
781	5919	1650
782	5934	1644
783	5940	1636
784	5947	1629
785	5954	1621
786	5961	1613
787	5969	1605
788	5976	1598
789	5983	1590
790	5990	1582
791	5998	1575
792	6004	1567
793	6011	1559
794	6023	1553
795	6030	1545
796	6038	1538
797	6045	1530
798	6052	1522
799	6059	1514
800	6067	1507
801	6074	1499
802	6081	1491
803	6088	1484
804	6095	1476
805	6102	1468
806	6109	1461
807	6117	1453
808	6124	1446
809	6131	1438
810	6138	1430
811	6146	1423
812	6154	1415
813	6161	1407
814	6168	1400
815	6175	1392
816	6182	1384
817	6189	1377
818	6197	1369
819	6204	1361
820	6211	1354
821	6218	1346
822	6226	1339
823	6233	1331
824	6240	1323
825	6247	1316
826	6254	1308
827	6261	1300
828	6269	1293
829	6276	1285
830	6282	1277
831	6289	1269
832	6296	1262
833	6303	1254
834	6310	1246
835	6317	1239
836	6325	1231
837	6331	1224
838	6338	1216
839	6345	1208
840	6352	1200
841	6359	1193
842	6366	1185
843	6373	1178
844	6381	1170
845	6388	1162
846	6395	1155
847	6402	1147
848	6409	1139
849	6416	1132
850	6423	1124
851	6430	1117
852	6437	1109
853	6444	1101
854	6451	1094
855	6458	1086
856	6466	1078
857	6474	1071
858	6481	1063
859	6489	1056
860	6496	1048
861	6503	1041
862	6510	1033
863	6518	1026
864	6525	1018
865	6532	1010
866	6539	1003
867	6546	995
868	6554	988
869	6561	980
870	6569	972
871	6576	965
872	6582	957
873	6590	950
874	6597	942
875	6603	934
876	6610	927
877	6617	919
878	6624	911
879	6632	904
880	6639	896
881	6646	889
882	6653	881
883	6661	874
884	6667	866
885	6675	858
886	6682	851
887	6689	843
888	6695	836
889	6702	828
890	6709	820
891	6716	813
892	6723	805
893	6730	797
894	6737	790
895	6744	782
896	6751	775
897	6758	767
898	6765	760
899	6772	752
900	6779	744
901	6786	737
902	6793	729
903	6800	722
904	6807	714
905	6815	707
906	6823	699
907	6830	692
908	6837	684
909	6845	677
910	6853	669
911	6861	662
912	6868	654
913	6876	647
914	6884	639
915	6891	631
916	6898	624
917	6905	616
918	6913	609
919	6920	601
920	6928	594
921	6935	586
922	6943	579
923	6950	571
924	6958	564
925	6966	556
926	6974	549
927	6981	541
928	6989	534
929	6995	526
930	7003	519
931	7011	511
932	7019	504
933	7027	496
934	7034	488
935	7041	481
936	7049	473
937	7056	466
938	7064	458
939	7071	451
940	7079	443
941	7086	436
942	7094	428
943	7101	421
944	7109	413
945	7116	406
946	7124	398
947	7131	391
948	7139	383
949	7147	376
950	7155	368
951	7162	361
952	7171	353
953	7178	346
954	7186	338
955	7193	331
956	7200	323
957	7208	316
958	7216	308
959	7223	300
960	7231	293
961	7238	285
962	7246	278
963	7255	270
964	7264	263
965	7273	255
966	7282	248
967	7290	241
968	7299	233
969	7307	225
970	7315	218
971	7323	210
972	7331	203
973	7339	195
974	7348	188
975	7357	180
976	7364	173
977	7373	165
978	7382	158
979	7390	150
980	7399	143
981	7407	135
982	7416	128
983	7423	120
984	7432	113
985	7441	105
986	7450	98
987	7459	90
988	7468	83
989	7475	75
990	7484	67
991	7492	60
992	7501	52
993	7508	45
994	7516	37
995	7524	30
996	7531	22
997	7539	15
998	7548	7
999	7556	0
